Streaming from http://sc.local/log (Ctrl-C to stop)

Time  State  Bat(V)  Drive(A)  Jack(A)  Aux(A)  Counter  Stable  Raw  DrHeat  JkHeat  AxHeat
----  -----  ------  --------  -------  ------  -------  ------  ---  ------  ------  ------
2026-02-17 16:11:45.855  IDLE  13.507  0.04  -0.02  -0.00  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:45.875  IDLE  13.455  0.34  0.05  0.02  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:45.894  IDLE  13.425  0.04  -0.02  -0.23  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:45.915  IDLE  13.410  0.34  -0.11  -0.12  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:45.935  IDLE  13.402  -0.42  -0.11  0.02  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:45.955  IDLE  13.410  0.34  0.16  0.04  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:45.974  IDLE  13.403  0.04  -0.02  -0.66  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:45.995  IDLE  13.399  -0.94  -0.09  0.00  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:46.015  IDLE  13.397  -4.28  0.00  -0.20  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:46.035  IDLE  13.396  0.35  0.23  -0.07  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:46.055  IDLE  13.242  -0.10  0.25  -0.07  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:46.075  IDLE  13.319  0.27  0.05  0.07  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:46.095  IDLE  13.357  7.45  0.02  0.14  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:46.115  IDLE  13.349  -0.66  -0.18  0.00  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:46.135  IDLE  13.372  0.09  -0.09  0.00  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:46.154  IDLE  13.357  0.32  0.18  0.05  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:46.174  IDLE  13.380  -0.59  0.11  0.00  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:46.195  IDLE  13.395  0.32  0.07  -0.02  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:46.215  IDLE  13.395  0.01  0.04  -0.13  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:46.234  IDLE  13.395  0.01  -0.09  -0.07  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:46.255  IDLE  13.395  0.01  -0.09  -0.02  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:46.274  IDLE  13.395  0.01  0.20  -0.29  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:46.295  IDLE  13.395  -0.37  0.09  0.05  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:46.315  IDLE  13.395  -0.06  -0.14  0.00  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:46.334  IDLE  13.399  0.09  0.14  0.07  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:46.354  IDLE  13.397  -0.29  -0.09  0.00  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:46.374  IDLE  13.400  0.01  -0.02  0.03  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:46.395  IDLE  13.397  0.09  -0.23  0.00  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:46.415  IDLE  13.396  -0.44  0.18  0.05  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:46.434  IDLE  13.396  -0.06  0.04  -0.20  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:46.454  IDLE  13.403  2.06  0.11  -0.02  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:46.474  IDLE  13.403  0.69  0.02  0.05  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:47.355  IDLE  13.445  0.31  -0.02  0.09  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:47.375  IDLE  13.424  0.00  0.00  0.09  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:47.395  IDLE  13.444  -0.07  -0.13  -0.27  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:47.415  IDLE  13.419  0.15  -0.11  0.00  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:47.434  IDLE  13.411  -1.05  0.07  0.00  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:47.455  IDLE  13.407  -0.07  0.07  -0.07  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:47.474  IDLE  13.401  0.31  0.07  -0.07  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:47.495  IDLE  13.398  0.08  0.25  0.00  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:47.515  IDLE  13.400  -0.22  -0.23  0.12  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:47.534  IDLE  13.405  0.08  0.07  -0.02  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:47.554  IDLE  13.400  0.01  -0.02  -0.20  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:47.574  IDLE  13.363  -0.14  0.18  0.00  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:47.594  IDLE  13.371  0.08  -0.11  -0.15  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:47.615  IDLE  13.383  0.08  -0.09  -0.06  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:47.634  IDLE  13.404  -0.98  0.18  0.14  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:47.654  IDLE  13.400  0.01  0.00  0.00  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:47.675  IDLE  13.397  -0.22  0.00  -0.02  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:47.694  IDLE  13.442  0.01  0.55  -0.02  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:47.714  IDLE  13.442  -0.37  0.11  0.00  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:47.735  IDLE  13.418  0.01  -0.07  0.10  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:47.754  IDLE  13.407  -0.21  0.04  -0.13  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:47.774  IDLE  13.401  0.32  0.02  0.10  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:47.794  IDLE  13.409  0.24  -0.02  -0.02  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:47.815  IDLE  13.406  -1.20  0.04  0.12  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:47.834  IDLE  13.401  -0.21  0.16  -0.11  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:47.856  IDLE  13.398  0.40  -0.00  0.18  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:47.875  IDLE  13.396  0.32  -0.09  -0.09  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:47.894  IDLE  13.396  -0.59  0.09  0.00  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:47.915  IDLE  13.395  -0.06  -0.03  -0.02  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:48.295  IDLE  13.400  -0.58  -0.10  -0.02  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:48.315  IDLE  13.417  0.40  -0.03  0.01  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:48.335  IDLE  13.460  0.02  -0.14  0.19  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:48.354  IDLE  13.435  0.17  -0.03  0.16  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:48.374  IDLE  13.419  0.02  -0.05  -0.06  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:48.395  IDLE  13.407  -0.58  -0.03  -0.11  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:48.415  IDLE  13.412  -0.20  -0.14  0.10  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:48.435  IDLE  13.691  0.70  -0.10  0.00  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:48.455  IDLE  13.543  -2.40  0.24  0.39  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:48.475  IDLE  13.465  0.11  -0.03  -0.07  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:48.495  IDLE  13.430  0.26  0.06  -0.02  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
