Fetching http://192.168.10.126/log ...
Log offsets: tail=0  head=50984  entries=1234
Device: version=?  time=1775665854
Time                     State  Bat(V)  Drive(A)  Jack(A)  Aux(A)  Counter  Stable       Raw          DrHeat  JkHeat  AxHeat
-----------------------  -----  ------  --------  -------  ------  -------  -----------  -----------  ------  ------  ------
2026-04-08 16:26:34.241  IDLE   12.123  32.00     0.00     -0.07   270      SAFETY+JACK  SAFETY+JACK  2.9     0.0     0.0   
2026-04-08 16:26:34.271  IDLE   12.069  21.55     -0.09    -0.09   271      SAFETY       SAFETY       2.9     0.0     0.0   
2026-04-08 16:26:34.281  IDLE   12.115  32.15     0.03     -0.09   271      SAFETY       SAFETY       2.9     0.0     0.0   
2026-04-08 16:26:34.301  IDLE   12.122  27.15     0.00     0.09    271      SAFETY       SAFETY       2.9     0.0     0.0   
2026-04-08 16:26:34.312  IDLE   12.076  21.62     -0.34    0.14    272      SAFETY+JACK  SAFETY+JACK  2.9     0.0     0.0   
2026-04-08 16:26:34.340  IDLE   12.107  25.94     -0.18    -0.09   272      SAFETY+JACK  SAFETY+JACK  2.9     0.0     0.0   
2026-04-08 16:26:34.361  IDLE   12.138  31.62     -0.09    0.25    272      SAFETY+JACK  SAFETY+JACK  2.9     0.0     0.0   
2026-04-08 16:26:34.373  IDLE   12.145  22.23     -0.02    0.18    273      SAFETY       SAFETY       2.9     0.0     0.0   
2026-04-08 16:26:34.401  IDLE   12.157  30.33     0.12     0.02    273      SAFETY       SAFETY       2.9     0.0     0.0   
2026-04-08 16:26:34.420  IDLE   12.147  24.42     0.05     0.02    273      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:34.432  IDLE   12.024  23.06     0.01     0.11    274      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:34.461  IDLE   12.046  22.00     -0.09    -0.11   274      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:34.476  IDLE   12.069  24.95     -0.11    0.14    275      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:34.501  IDLE   12.103  28.67     0.17     -0.07   275      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:34.521  IDLE   12.086  22.53     -0.09    0.02    275      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:34.539  IDLE   12.027  34.88     0.05     -0.00   276      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:34.561  IDLE   12.006  26.32     -0.18    0.11    276      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:34.580  IDLE   12.003  33.21     -0.13    -0.18   276      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:34.598  IDLE   11.951  28.29     -0.02    -0.00   277      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:34.622  IDLE   12.033  34.35     -0.04    -0.18   277      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:34.641  IDLE   11.832  35.33     0.05     0.11    277      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:34.655  IDLE   11.966  26.92     -0.01    0.02    278      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:34.683  IDLE   11.933  23.97     -0.08    0.11    278      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:34.701  IDLE   12.031  35.18     0.05     0.09    278      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:34.712  IDLE   12.085  33.29     0.01     -0.14   279      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:34.741  IDLE   11.985  25.41     0.12     0.11    279      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:34.762  IDLE   11.938  23.89     -0.02    0.11    279      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:34.772  IDLE   11.984  24.35     -0.08    0.18    280      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:34.801  IDLE   11.923  24.50     0.12     -0.18   280      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:34.823  IDLE   11.869  28.36     0.10     0.09    281      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:34.841  IDLE   11.958  29.65     0.05     0.02    281      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:34.861  IDLE   11.963  27.61     -0.04    -0.12   281      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:34.881  IDLE   11.912  26.24     0.23     0.02    281      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:34.891  IDLE   11.994  30.94     -0.09    0.02    282      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:34.920  IDLE   11.905  34.88     -0.09    0.02    282      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:34.937  IDLE   11.899  34.95     -0.04    -0.12   283      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:34.961  IDLE   11.880  25.56     0.12     0.18    283      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:34.981  IDLE   11.856  25.26     -0.20    0.16    283      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:35.001  IDLE   11.928  26.24     -0.08    -0.12   284      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:35.021  IDLE   12.010  24.27     -0.04    0.18    284      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:35.041  IDLE   12.066  33.67     0.12     0.02    284      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:35.052  IDLE   12.017  24.27     0.03     -0.07   285      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:35.081  IDLE   11.970  24.05     -0.02    0.13    285      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:35.101  IDLE   12.023  36.32     -0.08    0.11    285      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:35.114  IDLE   11.954  23.97     -0.02    0.02    286      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:35.141  IDLE   11.996  28.29     -0.06    0.02    286      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:35.161  IDLE   12.040  35.26     -0.08    -0.05   286      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:35.172  IDLE   12.050  29.95     -0.06    -0.10   287      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:35.201  IDLE   12.056  37.61     -0.06    0.11    287      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:35.221  IDLE   11.959  28.06     -0.38    0.02    287      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:35.232  IDLE   11.979  27.76     0.28     0.09    288      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:35.260  IDLE   11.894  26.39     0.01     -0.10   288      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:35.281  IDLE   11.847  26.39     -0.08    -0.16   288      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:35.291  IDLE   11.954  32.76     0.12     -0.05   289      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:35.323  IDLE   12.030  37.00     0.12     -0.07   289      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:35.341  IDLE   11.996  34.42     0.03     0.11    289      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:35.353  IDLE   12.032  37.68     0.03     -0.34   290      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:35.381  IDLE   12.035  27.98     -0.01    0.02    290      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:35.399  IDLE   12.044  29.27     -0.04    -0.18   291      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:35.421  IDLE   12.018  26.39     0.05     -0.09   291      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:35.441  IDLE   11.909  27.68     0.10     -0.11   291      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:35.462  IDLE   11.889  26.39     0.12     0.02    292      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:35.481  IDLE   11.948  30.48     -0.08    -0.11   292      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:35.500  IDLE   11.832  27.38     -0.08    -0.14   292      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:35.518  IDLE   11.885  26.77     -0.08    0.16    293      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:35.541  IDLE   11.927  29.05     -0.08    0.14    293      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:35.561  IDLE   11.860  32.30     -0.01    -0.11   293      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:35.579  IDLE   11.895  32.68     0.03     -0.16   294      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:35.600  IDLE   11.947  32.45     0.12     -0.16   294      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:35.621  IDLE   11.824  22.15     -0.11    0.18    294      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:35.638  IDLE   11.831  39.42     0.05     0.02    295      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:35.661  IDLE   11.885  34.50     0.01     0.18    295      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:35.685  IDLE   11.908  40.71     -0.15    0.02    295      SAFETY       SAFETY       2.8     0.0     0.0   
2026-04-08 16:26:35.698  IDLE   11.896  31.85     -0.01    -0.09   296      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:35.722  IDLE   11.887  28.36     -0.06    0.11    296      SAFETY+JACK  SAFETY+JACK  2.8     0.0     0.0   
2026-04-08 16:26:35.741  IDLE   11.886  38.67     0.01     0.23    296      SAFETY+JACK  SAFETY+JACK  2.9     0.0     0.0   
