Fetching http://192.168.10.126/log ...
Log offsets: tail=0  head=7828  entries=195
Device: version=?  time=1775668119
Time                     State                           Bat(V)  Drive(A)  Jack(A)  Aux(A)  Counter  Stable  Raw     DrHeat  JkHeat  AxHeat
-----------------------  ------------------------------  ------  --------  -------  ------  -------  ------  ------  ------  ------  ------
1970-01-01 00:00:00.000  BOOT  rst=POWERON  wake=NORMAL  —       —         —        —       —        —       —       —       —       —     
1970-01-01 00:00:00.000  BOOT  rst=POWERON  wake=NORMAL  —       —         —        —       —        —       —       —       —       —     
2026-04-08 16:58:48.000  TIME_SET                        —       —         —        —       —        —       —       —       —       —     
2026-04-08 16:59:36.565  IDLE                            13.326  0.03      -0.15    -0.08   0        SAFETY  SAFETY  0.0     0.0     0.0   
2026-04-08 16:59:36.585  IDLE                            12.521  3.20      33.46    0.17    0        SAFETY  SAFETY  0.0     0.1     0.0   
2026-04-08 16:59:36.605  IDLE                            12.042  1.76      33.46    -0.01   0        SAFETY  SAFETY  0.0     0.2     0.0   
2026-04-08 16:59:36.625  IDLE                            12.090  0.69      33.46    0.01    0        SAFETY  SAFETY  0.0     0.3     0.0   
2026-04-08 16:59:36.649  IDLE                            12.236  1.59      26.17    0.10    0        SAFETY  SAFETY  0.0     0.4     0.0   
2026-04-08 16:59:36.665  IDLE                            12.429  -0.00     17.46    0.04    0        SAFETY  SAFETY  0.0     0.4     0.0   
2026-04-08 16:59:36.685  IDLE                            12.632  -0.00     10.87    -0.10   0        SAFETY  SAFETY  0.0     0.5     0.0   
2026-04-08 16:59:36.705  IDLE                            12.795  0.53      7.21     0.04    0        SAFETY  SAFETY  0.0     0.5     0.0   
2026-04-08 16:59:36.725  IDLE                            12.899  -0.01     4.53     -0.19   0        SAFETY  SAFETY  0.0     0.5     0.0   
2026-04-08 16:59:36.747  IDLE                            12.986  0.45      3.51     -0.06   0        SAFETY  SAFETY  0.0     0.5     0.0   
2026-04-08 16:59:36.766  IDLE                            13.037  -0.76     3.26     -0.10   0        SAFETY  SAFETY  0.0     0.5     0.0   
2026-04-08 16:59:36.786  IDLE                            13.067  0.60      2.90     0.15    0        SAFETY  SAFETY  0.0     0.5     0.0   
2026-04-08 16:59:36.805  IDLE                            13.066  -0.31     2.35     -0.35   0        SAFETY  SAFETY  0.0     0.5     0.0   
2026-04-08 16:59:36.825  IDLE                            13.089  -0.01     2.13     -0.53   0        SAFETY  SAFETY  0.0     0.5     0.0   
